,Class ID,imageNet_class,max_similarity_ratio,dbpedia_class
358,358,"['polecat', 'fitch', 'foulmart', 'foumart', 'Mustela putorius']",73,poet
347,347,['bison'],73,prison
379,379,"['howler monkey', 'howler']",73,rower
192,192,"['cairn', 'cairn terrier']",73,casino
750,750,"['quilt', 'comforter', 'comfort', 'puff']",73,fort
746,746,"['puck', 'hockey puck']",73,hockey club
769,769,"['rule', 'ruler']",73,curler
774,774,['sandal'],73,canal
316,316,"['cicada', 'cicala']",73,cycad
311,311,"['grasshopper', 'hopper']",73,opera
470,470,"['candle', 'taper', 'wax light']",73,canal
292,292,"['tiger', 'Panthera tigris']",73,Singer
792,792,['shovel'],73,hotel
718,718,['pier'],73,painter
488,488,['chain'],73,casino
276,276,"['hyena', 'hyaena']",73,arena
273,273,"['dingo', 'warrigal', 'warragal', 'Canis dingo']",73,ginkgo
805,805,['soccer ball'],73,soccer club
734,734,"['police van', 'police wagon', 'paddy wagon', 'patrol wagon', 'wagon', 'black Maria']",73,weapon
824,824,['stole'],73,castle
837,837,"['sunglasses', 'dark glasses', 'shades']",73,sales
843,843,['swing'],73,single
458,458,"['brass', 'memorial tablet', 'plaque']",73,place
411,411,['apron'],73,person
360,360,['otter'],73,letter
950,950,['orange'],73,organ
572,572,['goblet'],73,noble
628,628,"['liner', 'ocean liner']",73,winery
700,700,['paper towel'],73,Water tower
148,148,"['killer whale', 'killer', 'orca', 'grampus', 'sea wolf', 'Orcinus orca']",73,skier
106,106,['wombat'],73,woman
101,101,['tusker'],73,skier
517,517,['crane'],73,crater
492,492,['chest'],73,cheese
18,18,['magpie'],73,image
695,695,['padlock'],73,lock
706,706,"['patio', 'terrace']",73,race
46,46,"['green lizard', 'Lacerta viridis']",73,green alga
138,138,['bustard'],73,star
692,692,['packet'],73,place
708,708,"['pedestal', 'plinth', 'footstall']",73,plant
545,545,"['electric fan', 'blower']",73,boxer
168,168,['redbone'],73,bone
675,675,['moving van'],73,moving image
673,673,"['mouse', 'computer mouse']",73,museum
361,361,"['skunk', 'polecat', 'wood pussy']",73,poet
528,528,"['dial telephone', 'dial phone']",73,mobile phone
499,499,"['cleaver', 'meat cleaver', 'chopper']",73,cave
885,885,['velvet'],73,event
595,595,"['harvester', 'reaper']",73,grape
894,894,"['wardrobe', 'closet', 'press']",73,priest
563,563,['fountain pen'],72,mountain pass
567,567,"['frying pan', 'frypan', 'skillet']",72,flowering plant
811,811,['space heater'],72,space shuttle
756,756,['rain barrel'],72,train carriage
122,122,"['American lobster', 'Northern lobster', 'Maine lobster', 'Homarus americanus']",71,American Leader
387,387,"['lesser panda', 'red panda', 'panda', 'bear cat', 'cat bear', 'Ailurus fulgens']",71,crater
444,444,"['bicycle-built-for-two', 'tandem bicycle', 'tandem']",71,Pandemic
123,123,"['spiny lobster', 'langouste', 'rock lobster', 'crawfish', 'crayfish', 'sea crawfish']",71,language
251,251,"['dalmatian', 'coach dog', 'carriage dog']",71,coach
534,534,"['dishwasher', 'dish washer', 'dishwashing machine']",71,disease
696,696,['paintbrush'],71,painter
934,934,"['hotdog', 'hot dog', 'red hot']",71,radio host
327,327,"['starfish', 'sea star']",71,parish
392,392,"['rock beauty', 'Holocanthus tricolor']",71,rocket
428,428,"['barrow', 'garden cart', 'lawn cart', 'wheelbarrow']",71,garden
321,321,['admiral'],71,mineral
790,790,['shopping basket'],71,shopping mall
584,584,['hair slide'],71,airline
295,295,"['American black bear', 'black bear', 'Ursus americanus', 'Euarctos americanus']",71,American Leader
967,967,['espresso'],71,professor
299,299,"['meerkat', 'mierkat']",71,mineral
780,780,['schooner'],71,school
66,66,"['horned viper', 'cerastes', 'sand viper', 'horned asp', 'Cerastes cornutus']",71,castle
919,919,['street sign'],71,street
596,596,['hatchet'],71,athlete
506,506,"['coil', 'spiral', 'volute', 'whorl', 'helix']",71,hospital
374,374,['langur'],71,language
493,493,"['chiffonier', 'commode']",71,conifer
469,469,"['caldron', 'cauldron']",71,cartoon
631,631,['lotion'],71,Election
460,460,"['breakwater', 'groin', 'groyne', 'mole', 'bulwark', 'seawall', 'jetty']",71,brewery
481,481,['cassette'],71,castle
162,162,['beagle'],71,beverage
133,133,['bittern'],71,battery
341,341,"['hog', 'pig', 'grunter', 'squealer', 'Sus scrofa']",71,square
10,10,"['brambling', 'Fringilla montifringilla']",71,brain
144,144,['pelican'],71,politician
727,727,['planetarium'],71,planet
575,575,"['golfcart', 'golf cart']",70,golf course
807,807,"['solar dish', 'solar collector', 'solar furnace']",70,solar eclipse
569,569,"['garbage truck', 'dustcart']",70,race track
267,267,['standard poodle'],70,standard
704,704,['parking meter'],70,painter
100,100,"['black swan', 'Cygnus atratus']",70,back scene
802,802,['snowmobile'],70,automobile
729,729,['plate rack'],70,race track
603,603,"['horse cart', 'horse-cart']",70,horse race
939,939,"['zucchini', 'courgette']",70,country estate
424,424,['barbershop'],70,archbishop
586,586,['half track'],70,race track
713,713,['photocopier'],70,photographer
768,768,['rugby ball'],70,rugby club
670,670,"['motor scooter', 'scooter']",70,motor race
509,509,"['confectionery', 'confectionary', 'candy store']",70,convention
403,403,"['aircraft carrier', 'carrier', 'flattop', 'attack aircraft carrier']",70,nascar driver
485,485,['CD player'],70,golf player
589,589,"['hand blower', 'blow dryer', 'blow drier', 'hair dryer', 'hair drier']",70,racing driver
920,920,"['traffic light', 'traffic signal', 'stoplight']",70,track list
127,127,"['white stork', 'Ciconia ciconia']",70,written work
